school,id,division,conference,rating,rd,volatility,wins,losses
Ohio State,194,East,Big Ten,2054.2166620600697,74.48093376806368,0.060003736012904346,10.0,2.0
Oklahoma,201,,Big 12,1994.7227816458467,75.34754124556383,0.05992605523818477,11.0,2.0
Oklahoma State,197,,Big 12,2066.208387325926,75.00245428463138,0.060014158982834326,11.0,2.0
Old Dominion,295,East,Conference USA,1063.2699008016912,68.70377585268858,0.059955719292471496,6.0,7.0
Ole Miss,145,West,SEC,2017.5045473830082,80.30942793880965,0.05999711615878308,10.0,2.0
Oregon,2483,North,Pac-12,1663.6173516625886,72.35224122427849,0.06007530354331377,10.0,4.0
Oregon State,204,North,Pac-12,1375.126563133171,67.48860726992105,0.06008068428763987,7.0,6.0
Penn State,213,East,Big Ten,1703.6627289544751,69.79404455281022,0.05998243040989331,7.0,6.0
Pittsburgh,221,Coastal,ACC,1784.8227344089933,72.57687801517669,0.06003838434275951,11.0,3.0
Purdue,2509,West,Big Ten,1879.551402875929,72.44561611647391,0.06002135658099395,9.0,4.0
Rice,242,West,Conference USA,982.4219039711671,73.18685615736831,0.060033455700388975,4.0,8.0
Rutgers,164,East,Big Ten,1388.3304303217596,73.45384587578883,0.060002759192133485,5.0,8.0
San Diego State,21,West,Mountain West,1789.9438544854393,74.46638274905067,0.060010222799023426,12.0,2.0
San José State,23,West,Mountain West,1163.4422297114877,70.01603084309657,0.05998570069015729,5.0,7.0
SMU,2567,West,American Athletic,1537.7459494887553,71.63994956247463,0.05999280624106078,8.0,4.0
South Alabama,6,,Sun Belt,935.5767144464677,70.78756884074456,0.05992829226834277,5.0,7.0
South Carolina,2579,East,SEC,1560.8664954416186,67.45922237514218,0.059964462063746275,7.0,6.0
Southern Mississippi,2572,West,Conference USA,714.1689448763258,80.74621142097587,0.059962072190526836,3.0,9.0
South Florida,58,East,American Athletic,917.8451700020631,86.50715728962047,0.0599825731549289,2.0,10.0
Stanford,24,North,Pac-12,1141.6759721349,69.73637757636398,0.0600255048514965,3.0,9.0
Syracuse,183,Atlantic,ACC,1362.4291600824902,67.6920245697835,0.059954134158069376,5.0,7.0
TCU,2628,,Big 12,1535.2724286784087,69.16107462532597,0.060030102462586145,5.0,7.0
Temple,218,East,American Athletic,979.3544831578039,82.9304862577409,0.060035222665163056,3.0,9.0
