school,id,division,conference,rating,rd,volatility,wins,losses
Air Force,2005,Mountain,Mountain West,1400.3642462440414,69.89080692217112,0.05994507504789062,3.0,3.0
Akron,2006,East,Mid-American,565.109056839395,97.21713081371908,0.05997735173341828,1.0,5.0
Alabama,333,West,SEC,3099.8272244984046,145.01379297946227,0.05998239580104679,12.0,0.0
Appalachian State,2026,,Sun Belt,1584.8756456696055,81.90080779679725,0.05997213146083797,9.0,3.0
Arizona,12,South,Pac-12,798.3378015606672,121.20056452464219,0.059989262780919365,0.0,5.0
Arizona State,9,South,Pac-12,1453.652204880408,68.00061491165566,0.059978341551078194,2.0,2.0
Arkansas,8,West,SEC,1743.3721403212855,67.99821541021274,0.05996541626942983,3.0,7.0
Arkansas State,2032,,Sun Belt,1082.5210475155977,76.29252439949762,0.06014344313587842,4.0,7.0
Army,349,,FBS Independents,1527.393324271521,74.40586365189634,0.05996656838279614,9.0,3.0
Auburn,2,West,SEC,1932.5964947315017,69.35715617971312,0.05998821788660123,6.0,5.0
Ball State,2050,West,Mid-American,2032.4095950523665,77.31793472029742,0.06002153375604684,7.0,1.0
Baylor,239,,Big 12,1402.1087621055601,78.89973230772574,0.05997989803277754,2.0,7.0
Boise State,68,Mountain,Mountain West,1698.361529816354,78.49360251129958,0.05994875315168746,5.0,2.0
Boston College,103,Atlantic,ACC,1519.0795994993937,71.29328019027284,0.05994392635123801,6.0,5.0
Bowling Green,189,East,Mid-American,118.07108499138008,111.67015649501256,0.05998904210871874,0.0,5.0
Buffalo,2084,East,Mid-American,1916.0494787318507,79.10952938839752,0.05997058908705526,6.0,1.0
BYU,252,,FBS Independents,2021.8438742933008,94.09180664171461,0.059960314286543664,11.0,1.0
California,25,North,Pac-12,1371.9066099342174,66.78096664549817,0.06003958879722132,1.0,3.0
Central Michigan,2117,West,Mid-American,1145.209377407846,69.43715383598024,0.05995331221947462,3.0,3.0
Charlotte,2429,East,Conference USA,877.0681086301036,68.05269081002044,0.05995174329366025,2.0,4.0
Cincinnati,2132,East,American Athletic,2061.2624655995314,89.1310896281741,0.0599562856159582,9.0,1.0
Clemson,228,Atlantic,ACC,2321.841975969326,87.54429849868515,0.05998328556664145,10.0,2.0
Coastal Carolina,324,,Sun Belt,2167.6784388203073,87.69182863997477,0.06002027826204067,11.0,1.0
Colorado,38,South,Pac-12,1747.429059178733,66.94568862568137,0.05996323826579774,4.0,2.0
Colorado State,36,Mountain,Mountain West,1045.9976394309763,69.09793134690311,0.059983396044547624,1.0,3.0
Connecticut,41,East,American Athletic,844.8925822760862,184.338086739183,0.05999916190967484,0.0,0.0
Duke,150,Coastal,ACC,1058.921252246672,76.33205163472128,0.059932119990534966,2.0,9.0
East Carolina,151,East,American Athletic,1179.6157801285494,73.86501647554073,0.059999995011777996,3.0,6.0
Eastern Michigan,2199,West,Mid-American,1087.7979636649186,72.66078552785544,0.060007908493028735,2.0,4.0
Florida,57,East,SEC,2067.138958706383,75.03038631476998,0.06000954078536917,8.0,4.0
Florida Atlantic,2226,East,Conference USA,1130.6210632437253,70.8356569271337,0.06001052197035049,5.0,4.0
